petscii_code,screen_code,basic_repr,char_name,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7
58,58,:,colon,00,00,18,00,00,18,00,00
59,59,;,semicolon,00,00,18,00,00,18,18,30
60,60,<,less-than sign,0E,18,30,60,30,18,0E,00
61,61,=,equals sign,00,00,7E,00,7E,00,00,00
62,62,>,greater-than sign,70,18,0C,06,0C,18,70,00
63,63,?,question mark,3C,66,06,0C,18,00,18,00
,64,,,00,00,00,FF,FF,00,00,00
,65,,,08,1C,3E,7F,7F,1C,3E,00
,66,,,18,18,18,18,18,18,18,18
,67,,,00,00,00,FF,FF,00,00,00
,68,,,00,00,FF,FF,00,00,00,00
,69,,,00,FF,FF,00,00,00,00,00
,70,,,00,00,00,00,FF,FF,00,00
,71,,,30,30,30,30,30,30,30,30
,72,,,0C,0C,0C,0C,0C,0C,0C,0C
,73,,,00,00,00,E0,F0,38,18,18
,74,,,18,18,1C,0F,07,00,00,00
,75,,,18,18,38,F0,E0,00,00,00
,76,,,C0,C0,C0,C0,C0,C0,FF,FF
,77,,,C0,E0,70,38,1C,0E,07,03
,78,,,03,07,0E,1C,38,70,E0,C0
,79,,,FF,FF,C0,C0,C0,C0,C0,C0
,80,,,FF,FF,03,03,03,03,03,03
,81,,,00,3C,7E,7E,7E,7E,3C,00
,82,,,00,00,00,00,00,FF,FF,00
83,83,S,letter s,36,7F,7F,7F,3E,1C,08,00
,84,,,60,60,60,60,60,60,60,60
,85,,,00,00,00,07,0F,1C,18,18
,86,,,C3,E7,7E,3C,3C,7E,E7,C3
,87,,,00,3C,7E,66,66,7E,3C,00
,88,,,18,18,66,66,18,18,3C,00
,89,,,06,06,06,06,06,06,06,06
,90,,,08,1C,3E,7F,3E,1C,08,00
,91,,,18,18,18,FF,FF,18,18,18
,92,,,C0,C0,30,30,C0,C0,30,30
,93,,,18,18,18,18,18,18,18,18
,94,,,00,00,03,3E,76,36,36,00
,95,,,FF,7F,3F,1F,0F,07,03,01
,96,,,00,00,00,00,00,00,00,00
,97,,,F0,F0,F0,F0,F0,F0,F0,F0
,98,,,00,00,00,00,FF,FF,FF,FF
,99,,,FF,00,00,00,00,00,00,00
,100,,,00,00,00,00,00,00,00,FF
,101,,,C0,C0,C0,C0,C0,C0,C0,C0
,102,,,CC,CC,33,33,CC,CC,33,33
,103,,,03,03,03,03,03,03,03,03
,104,,,00,00,00,00,CC,CC,33,33
,105,,,FF,FE,FC,F8,F0,E0,C0,80
,106,,,03,03,03,03,03,03,03,03
,107,,,18,18,18,1F,1F,18,18,18
,108,,,00,00,00,00,0F,0F,0F,0F
,109,,,18,18,18,1F,1F,00,00,00
,110,,,00,00,00,F8,F8,18,18,18
,111,,,00,00,00,00,00,00,FF,FF
,112,,,00,00,00,1F,1F,18,18,18
,113,,,18,18,18,FF,FF,00,00,00
,114,,,00,00,00,FF,FF,18,18,18
,115,,,18,18,18,F8,F8,18,18,18
,116,,,C0,C0,C0,C0,C0,C0,C0,C0
,117,,,E0,E0,E0,E0,E0,E0,E0,E0
,118,,,07,07,07,07,07,07,07,07
,119,,,FF,FF,00,00,00,00,00,00
,120,,,FF,FF,FF,00,00,00,00,00
,121,,,00,00,00,00,00,FF,FF,FF
,122,,,03,03,03,03,03,03,FF,FF
,123,,,00,00,00,00,F0,F0,F0,F0
,124,,,0F,0F,0F,0F,00,00,00,00
,125,,,18,18,18,F8,F8,00,00,00
,126,,,F0,F0,F0,F0,00,00,00,00
